truck_id,truck_number,truck_type,rfid_tag,registration_date
TRK-0070,JO-995-KQ,Bulk,RFID-eX654rw,2023-08-09
TRK-0071,EY-985-EU,Tipper,RFID-vb868hq,2024-09-18
TRK-0072,EK-283-TI,Tipper,RFID-cg294MB,2024-05-19
,YU-984-TG,Bulk,RFID-MG556hy,2023-10-06
TRK-0074,ES-491-WW,Tipper,RFID-cT934Ba,2025-03-20
TRK-0075,,Bulk,RFID-xB883eQ,2023-10-29
TRK-0076,WF-775-FI,Tipper,RFID-Qh595Ut,2025-06-20
TRK-0077,WZ-385-JN,Tipper,RFID-uz846Ss,2025-04-02
TRK-0078,,Tipper,RFID-AQ823yR,2024-10-31
TRK-0079,ZE-371-AP,Tipper,RFID-tz299Ja,2025-03-12
,,,,
TRK-0081,KO-360-BL,Tipper,RFID-CR577nG,2024-11-30
TRK-0082,NU-803-ST,Tipper,RFID-sG721QO,2024-02-26
TRK-0083,RJ-171-YX,Bulk,RFID-Wp951Rt,2025-04-16
TRK-0084,QR-227-SH,Tipper,RFID-bc332pE,2024-12-16
,,,,
TRK-0086,ER-488-RX,Bulk,RFID-pj676PS,2024-05-12
TRK-0087,QH-661-VH,Tipper,RFID-ol016ZS,2024-02-22
TRK-0088,FU-721-RM,Tipper,RFID-Jp870hD,2025-07-31
TRK-0089,LF-584-UY,Bulk,RFID-JM278uW,2024-05-13
TRK-0090,,Tipper,RFID-BJ798Ck,2024-06-26
TRK-0091,IV-869-GI,Tipper,RFID-Wp774Or,2024-11-17
TRK-0092,UD-147-GM,Bulk,RFID-rC873eT,2024-08-06
TRK-0093,WB-524-XO,Tipper,RFID-vu434If,2023-11-23
TRK-0094,SJ-509-GR,Bulk,RFID-yS223jT,2024-11-26
TRK-0095,AT-888-XU,,RFID-Av316ID,2024-06-07
TRK-0096,FU-812-NB,Bulk,RFID-Ay603XL,2024-04-28
TRK-0097,GW-567-DM,Bulk,RFID-Ea096wt,2024-04-23
TRK-0098,NO-424-YX,Tipper,RFID-VV668IZ,2024-06-02
,PS-616-LX,Tipper,RFID-or937BF,2025-05-05
TRK-0100,LE-982-MG,Tipper,RFID-QR065Zz,2023-11-02
,,,,
TRK-0102,GL-830-HH,Bulk,RFID-fP990Bi,2023-12-27
TRK-0103,IO-241-DJ,Bulk,RFID-qy720un,2024-07-22
TRK-0104,DF-524-KO,Tipper,RFID-Wy755rW,2024-07-02
TRK-0105,KF-530-KU,Tipper,RFID-Eb641VI,2024-08-26
TRK-0106,YA-883-OM,Tipper,,2023-10-04
,,,,
TRK-0108,KT-659-UX,Bulk,RFID-Qh327Kn,2024-07-11
TRK-0109,MH-597-AI,Bulk,RFID-kM745MV,2024-07-16
TRK-0110,RK-269-VX,Tipper,RFID-gL124bt,2025-02-25
TRK-0111,ZN-503-PR,Tipper,RFID-Tm966eL,2025-01-17
TRK-0112,CL-987-MB,Bulk,RFID-RM314Zh,2025-04-25
TRK-0113,JF-434-IW,Tipper,RFID-IB905Qx,2023-11-03
TRK-0114,HY-531-GC,Tipper,RFID-aA185Fg,2025-01-20
,AO-458-FB,Bulk,RFID-Tj657Bl,2025-03-13
TRK-0116,YB-131-YF,Bulk,RFID-ZI849XE,2025-01-10
,,Tipper,RFID-ru769pf,2024-08-28
TRK-0118,YM-362-TE,Bulk,RFID-WD473KN,2024-08-27
TRK-0119,PT-217-UE,Tipper,RFID-Fu650lF,2024-06-22
TRK-0120,IP-419-OX,Bulk,RFID-vr354MS,2025-03-09
TRK-0121,JY-303-BR,Bulk,RFID-Hm480fp,2023-11-22
TRK-0122,QC-891-HR,Tipper,RFID-Wp678SE,2025-05-23
TRK-0123,UU-679-UJ,Bulk,RFID-fs770oz,2024-06-30
TRK-0124,LJ-618-QA,Bulk,RFID-xE349JH,2024-02-07
TRK-0125,KM-543-YQ,Tipper,RFID-vw568SD,2024-11-01
TRK-0126,,Bulk,,2024-05-06
TRK-0127,,Tipper,RFID-WS518lm,2024-06-11
TRK-0128,,Tipper,RFID-UL374WH,2023-10-26
TRK-0129,CW-349-TO,Bulk,RFID-ms941ox,2023-11-17
TRK-0130,RI-606-WE,Tipper,RFID-TI240ir,2025-03-03
TRK-0131,FU-448-HP,Tipper,RFID-sS008iO,
TRK-0132,WO-629-YC,Tipper,RFID-Ks710EE,2025-03-21
TRK-0133,SM-876-GM,Tipper,RFID-dq752Eh,2025-05-10
TRK-0134,,Tipper,RFID-eK167OR,2024-05-27
TRK-0135,RH-695-JO,Tipper,RFID-ZK022tf,2025-07-22
TRK-0136,IZ-663-IS,Bulk,RFID-WA318MM,2025-03-30
TRK-0137,HG-223-SI,Tipper,RFID-yC938Ct,2024-07-12
,TY-806-EF,Bulk,RFID-KN964dN,2024-09-30
TRK-0139,MS-878-NH,Tipper,RFID-qQ133fk,2024-01-21
TRK-0140,CF-332-JH,Bulk,RFID-ek328aA,2025-08-04
TRK-0141,SD-146-ZO,Bulk,RFID-sc797os,2023-08-24
TRK-0142,SD-989-TC,Bulk,RFID-Ro471qY,2024-05-20
TRK-0143,AH-590-LE,Tipper,RFID-hI936oP,2024-05-13
TRK-0144,BY-589-CB,Bulk,RFID-ed242kY,
,,,,
TRK-0146,OH-354-DT,,RFID-GI464FC,
TRK-0147,PU-331-UJ,Bulk,,2023-10-20
TRK-0148,XH-702-ZH,Bulk,RFID-oR401KL,2024-01-03
TRK-0149,QP-857-CT,,RFID-cW049Wl,2024-09-30
TRK-0150,QG-183-EE,Bulk,RFID-rl787LB,2025-05-23
TRK-0151,BA-561-RM,Tipper,RFID-wA717vu,2025-05-27
,,,,
TRK-0153,RY-906-UP,Tipper,RFID-Df680uq,2024-08-10
TRK-0154,,Bulk,RFID-Ga516QI,2025-03-07
TRK-0155,,Tipper,RFID-mH760xN,2024-03-14
TRK-0156,PV-395-LM,Tipper,RFID-nr770Ji,2025-05-05
TRK-0157,HK-378-NM,Bulk,RFID-hb477OM,2023-09-10
,,,,
TRK-0159,,Bulk,RFID-Dh131Pj,2025-02-21
TRK-0160,YZ-788-VO,Tipper,RFID-Tr748AE,2023-11-21
TRK-0161,TE-631-QX,Tipper,RFID-Jj737ym,2024-01-20
TRK-0162,,Tipper,RFID-er982XY,2025-01-19
TRK-0163,MK-428-RW,Tipper,RFID-ra658sU,2024-12-25
TRK-0164,IS-395-RK,Tipper,RFID-QF499jC,2025-07-25
TRK-0165,TA-190-II,Bulk,RFID-vJ875WI,
TRK-0166,ZK-626-VA,Tipper,RFID-mS675pK,2025-03-18
TRK-0167,WM-155-EJ,Bulk,RFID-cu636VE,2024-03-16
TRK-0168,TQ-878-BG,Tipper,RFID-Fc662iG,2025-01-04
,,,,
TRK-0170,QU-826-EO,Bulk,RFID-Pj026eE,2023-09-27
TRK-0171,OC-961-XL,Bulk,RFID-Sz459Pf,2024-03-26
TRK-0172,DV-610-YH,,RFID-uO586TW,2024-03-22
TRK-0173,SK-594-ZG,Bulk,RFID-Ne780pO,2025-04-07
TRK-0174,OJ-713-NW,Tipper,RFID-Bg431WO,2024-06-03
TRK-0175,WH-908-WI,Tipper,RFID-St172bc,2025-06-22
TRK-0176,UG-102-HH,Bulk,RFID-wx504Bj,2024-05-27
TRK-0177,PZ-601-WL,Bulk,RFID-KR386Yl,2023-12-19
TRK-0178,MI-881-OL,Bulk,RFID-Ny221NR,2024-08-22
TRK-0179,IE-814-GJ,Bulk,RFID-jo379DO,2024-06-29
,,,,
TRK-0181,VK-779-UQ,Tipper,RFID-eC482wL,2025-02-20
TRK-0182,DZ-229-NP,Tipper,RFID-Dt464my,2024-01-21
TRK-0183,WW-550-CX,Tipper,RFID-yK713wK,2023-08-05
TRK-0184,AD-991-RE,Bulk,RFID-Qz440ra,2024-03-22
TRK-0185,MZ-446-QK,Bulk,RFID-VF909sX,2025-01-14
TRK-0186,CI-790-WJ,Bulk,RFID-oO395mN,2023-10-29
TRK-0187,IS-877-MO,Tipper,RFID-OP421ct,2023-09-29
TRK-0188,QG-800-XZ,Bulk,RFID-xU709if,2025-04-21
TRK-0189,TL-200-TS,Tipper,RFID-lm456iY,2024-07-25
TRK-0190,CE-406-XB,Bulk,RFID-Gr858kq,2024-06-23
TRK-0191,UH-483-LG,Bulk,RFID-Zh745De,2025-04-01
TRK-0192,KR-284-EC,Tipper,RFID-ZJ236xf,2023-10-19
TRK-0193,WQ-346-MP,Bulk,RFID-Ih604Dx,2025-01-17
TRK-0194,GQ-570-GA,Bulk,RFID-Ox496gR,2024-03-23
TRK-0195,UX-793-OB,Tipper,RFID-NJ370uN,2023-12-18
TRK-0196,YZ-406-QL,Tipper,RFID-St317PA,2024-12-03
TRK-0197,GV-303-ZW,Bulk,RFID-ct120Fh,2025-01-07
TRK-0198,CJ-467-OZ,,RFID-iy138Dx,2023-10-23
TRK-0199,HZ-774-KA,Tipper,RFID-VU869jA,2024-05-21
,,,,
TRK-0201,VX-894-UP,Bulk,RFID-Cp537xg,2024-03-21
TRK-0202,JQ-735-GT,Tipper,,2024-09-05
TRK-0203,TR-240-QX,Tipper,RFID-Qn171PO,2024-01-28
TRK-0204,QI-551-AJ,Bulk,RFID-Yv900pi,2023-10-31
TRK-0205,DX-434-TE,Bulk,RFID-WJ931nL,2024-11-13
TRK-0206,DO-474-NX,Bulk,RFID-Xj335YM,2024-06-08
TRK-0207,VG-944-YZ,Bulk,RFID-iI042qZ,2024-09-21
TRK-0208,HW-923-CZ,Tipper,,2025-02-27
TRK-0209,DZ-980-RR,Bulk,RFID-bl395qd,2024-06-27
TRK-0210,KV-670-JU,Tipper,RFID-hV268eE,2024-01-12
TRK-0211,AN-565-JT,Tipper,RFID-Lg758CG,2025-06-24
TRK-0212,GJ-753-YC,Bulk,RFID-UY390QH,2025-07-21
TRK-0213,GA-674-IP,Bulk,RFID-dE470zB,2024-06-22
TRK-0214,QQ-575-XH,Tipper,RFID-ef177uM,2024-02-24
TRK-0215,KD-138-HM,Bulk,RFID-rN212OL,2024-08-11
TRK-0216,CX-238-KJ,Bulk,RFID-MH856sD,2023-08-26
TRK-0217,YS-653-KT,Tipper,RFID-gY896Sh,2025-05-19
TRK-0218,EK-201-VQ,Tipper,RFID-Co836Av,2024-02-15
TRK-0219,YH-806-JL,Bulk,RFID-Ug766uB,2024-06-01
TRK-0220,YW-201-ZJ,Tipper,RFID-jR545Ee,2024-04-04
TRK-0221,XQ-162-KE,Bulk,RFID-Bg111VV,2024-05-23
TRK-0222,DW-565-CF,Tipper,RFID-dL528JJ,2024-09-26
TRK-0223,QZ-151-UG,Bulk,RFID-wQ516WB,2024-10-17
TRK-0224,DO-170-VO,Bulk,RFID-tw049gK,2024-05-31
TRK-0225,PV-338-ID,Tipper,,2024-11-07
TRK-0226,XA-979-ZZ,Bulk,RFID-hW585rK,
TRK-0227,OU-212-RA,Bulk,RFID-XN368NR,2025-07-05
,,,,
,,,,
TRK-0230,MU-625-PL,Bulk,RFID-ej296VO,2023-08-21
TRK-0231,FP-844-UW,Bulk,RFID-ny018AD,2024-01-20
TRK-0232,NL-131-BM,Tipper,RFID-tU525uX,2024-05-24
TRK-0233,KR-602-SL,Tipper,RFID-dj991kW,2024-10-06
TRK-0234,XI-251-BH,Bulk,RFID-rC901QB,2024-10-11
TRK-0235,QO-432-JP,Bulk,RFID-Ar797nW,2025-04-01
TRK-0236,,Bulk,RFID-Bh815sR,2024-01-31
,WQ-887-OW,Bulk,RFID-Qt978co,2023-08-07
TRK-0238,LX-523-IL,Tipper,RFID-an690tn,2023-08-26
TRK-0239,KC-537-IG,Bulk,RFID-uh244aF,2024-03-08
TRK-0240,YR-585-BV,Bulk,RFID-yI622To,2024-09-28
,,,,
TRK-0242,BY-675-ID,Bulk,RFID-eu607KB,2024-08-16
TRK-0243,JR-868-KX,Bulk,RFID-sh966zb,
TRK-0244,BH-419-JP,Bulk,RFID-DS529xf,2024-11-15
TRK-0245,FR-329-WJ,Tipper,RFID-BL613zH,2025-07-19
TRK-0246,OC-385-OU,Bulk,RFID-Vv164ov,2024-12-14
TRK-0247,VZ-938-QR,Tipper,RFID-Oh218HG,2024-01-28
TRK-0248,OP-773-VG,Tipper,RFID-UP355jp,2024-06-11
,,,,
TRK-0250,,Bulk,RFID-DW127KW,2024-01-28
TRK-0251,QA-864-NJ,Bulk,RFID-PO979Nu,2025-01-22
TRK-0252,LE-419-SU,Bulk,RFID-eE527CO,2025-05-20
TRK-0253,OC-153-ET,Bulk,RFID-dw449Ge,2023-10-05
TRK-0254,BC-553-RM,,RFID-cd477xs,2025-03-21
TRK-0255,LH-873-NI,Tipper,RFID-MG119yD,2024-04-28
TRK-0256,CR-707-MR,Tipper,RFID-CZ980KP,
TRK-0257,BK-713-BF,Bulk,RFID-EG359jd,2023-12-23
TRK-0258,YT-882-GI,Tipper,RFID-Tf715GP,2025-03-07
TRK-0259,AT-279-DN,Bulk,RFID-TC203CH,2023-11-25
TRK-0260,FO-784-UB,Bulk,RFID-xx892sy,2025-04-01
TRK-0261,,Tipper,RFID-dY659OP,2025-02-04
TRK-0262,IL-514-SK,Tipper,RFID-gJ515Ry,2024-11-08
TRK-0263,CA-432-EY,Tipper,,2023-11-01
TRK-0264,LR-470-CV,Tipper,RFID-PS254Qz,2024-12-30
TRK-0265,GP-636-CW,Bulk,RFID-tJ291yP,2024-12-17
TRK-0266,TF-897-EN,Tipper,RFID-fP528QB,2023-12-13
TRK-0267,CN-894-JS,Tipper,RFID-xt850ln,2024-08-13
TRK-0268,VV-341-CG,Tipper,RFID-oi573je,2025-07-31
TRK-0269,ED-877-RE,Bulk,RFID-XI418VH,2023-09-18
TRK-0270,UM-872-OP,Tipper,RFID-iM059yj,2024-05-28
TRK-0271,RW-758-QQ,Bulk,RFID-Zk229UC,2024-04-17
TRK-0272,WQ-254-LM,Bulk,,2024-11-11
TRK-0273,QU-705-BN,Bulk,RFID-oI947pt,2024-01-25
TRK-0274,,Tipper,RFID-RK735CD,2024-03-09
TRK-0275,QZ-192-PN,Tipper,RFID-HA468km,2023-09-24
TRK-0276,MO-910-TB,Bulk,RFID-dP924Ex,2023-09-07
TRK-0277,XO-292-IM,Bulk,RFID-hs818fW,2025-07-10
TRK-0278,DB-205-VV,Bulk,RFID-Gj247Bf,2024-02-26
TRK-0279,ZC-761-EG,Bulk,RFID-bA375dz,2023-09-12
,,,,
TRK-0281,XK-893-IP,Tipper,RFID-TP051vY,2025-03-03
TRK-0282,UQ-167-IO,Tipper,RFID-sE220Si,2025-08-01
TRK-0283,KG-972-RX,Bulk,RFID-af779bq,2025-01-18
TRK-0284,WI-696-RX,Tipper,RFID-UM328HB,2023-11-25
TRK-0285,IR-778-KP,Tipper,RFID-th143dp,2024-10-27
TRK-0286,YI-485-QI,Tipper,RFID-eh697FM,2023-10-17
TRK-0287,DS-856-ZX,Tipper,RFID-Kp808Tj,2023-10-07
TRK-0288,CR-620-JJ,Tipper,RFID-Nw460pK,2024-09-29
TRK-0289,EF-884-MF,Tipper,RFID-Hx621eH,2024-07-20
TRK-0290,DC-964-UN,Bulk,RFID-Jb888yE,2023-12-15
TRK-0291,OT-639-AI,Tipper,RFID-qV065bw,2023-11-12
TRK-0292,TD-485-EE,Bulk,RFID-UQ153Og,2024-09-06
TRK-0293,SQ-269-SB,Bulk,RFID-cw952Iv,2023-12-04
TRK-0294,JS-554-PT,Tipper,RFID-Ol277Zi,2024-03-10
TRK-0295,UG-344-IV,Tipper,RFID-sm170cY,2024-08-11
TRK-0296,MV-476-RO,Bulk,RFID-tG305zI,2023-11-09
,,,,
TRK-0298,ZV-920-PW,Bulk,RFID-rh505Zx,2024-01-01
TRK-0299,BM-480-OC,Tipper,RFID-yv667lF,2023-08-20
TRK-0300,VW-391-CE,Tipper,RFID-rZ758fU,2023-10-11
TRK-0301,LN-950-LY,Tipper,RFID-Ml616Is,2024-09-24
TRK-0302,FL-457-YK,Tipper,RFID-uQ511st,
TRK-0303,KJ-495-ZJ,Tipper,RFID-kS796Cw,2024-07-16
TRK-0304,AY-959-SI,Tipper,RFID-NB705rO,2025-01-27
TRK-0305,DA-949-MV,Bulk,RFID-xG016ZV,2024-10-31
TRK-0306,TM-730-AC,Tipper,RFID-MR202YC,2025-03-27
TRK-0307,GV-661-YP,Bulk,RFID-pX021Px,2024-06-11
TRK-0308,LU-343-HB,Tipper,RFID-cM569jR,2024-12-23
TRK-0309,KU-568-BV,Tipper,RFID-CW755eK,2023-09-15
TRK-0310,MN-747-NG,Bulk,RFID-zu285Pr,2025-05-24
TRK-0311,DL-729-JO,,RFID-Vl310FH,2025-05-08
,ER-636-ZB,Bulk,RFID-qX681qT,2024-08-12
TRK-0313,NN-619-OK,Bulk,RFID-sS739Fm,2024-04-20
TRK-0314,MQ-482-GA,Bulk,RFID-Cl121TC,2025-01-11
TRK-0315,UI-850-RC,Tipper,RFID-Te155JI,2024-07-18
TRK-0316,PT-236-BO,Tipper,RFID-TT442SO,2024-09-16
TRK-0317,VE-897-RZ,,RFID-oh258mY,2024-11-22
TRK-0318,ME-238-BU,Tipper,RFID-bx237JK,
TRK-0319,LH-144-UX,Bulk,RFID-iN578fe,2025-04-09
TRK-0320,II-507-ZO,Bulk,RFID-HA467XA,2025-05-15
TRK-0321,GT-295-HW,Bulk,RFID-uP912eC,2025-02-19
TRK-0322,BR-379-DJ,Bulk,RFID-iX785JO,2024-09-12
TRK-0323,XT-495-IE,Bulk,RFID-BG922dh,2024-12-26
TRK-0324,RJ-916-NU,Bulk,RFID-kk824uT,2024-02-16
TRK-0325,SC-716-ZE,Bulk,RFID-sf358qm,2025-05-12
TRK-0326,HC-435-RH,Tipper,RFID-Ot842NI,2024-10-25
TRK-0327,PL-806-LL,Tipper,RFID-LL182jk,2024-08-09
,SX-729-ZH,Tipper,RFID-Kc995bf,2025-06-29
TRK-0329,ZY-176-RK,Bulk,RFID-Pn094XK,2024-03-13
,NT-263-YD,Tipper,RFID-FO690Is,2024-10-29
TRK-0331,PU-135-DG,Tipper,RFID-ZZ473Rz,2024-11-24
TRK-0332,QJ-680-AD,Tipper,RFID-Sd471kC,2024-07-18
TRK-0333,LJ-554-TO,Bulk,RFID-nv677Mj,2024-12-01
,,,,
TRK-0335,AE-630-KO,Bulk,RFID-up881Dh,2023-09-18
TRK-0336,GG-556-FP,Bulk,RFID-jg473ds,2024-04-06
TRK-0337,SZ-304-DW,Bulk,RFID-pk696uK,2023-12-08
TRK-0338,LX-555-ZV,Bulk,RFID-FG532DF,
TRK-0339,ZZ-783-JB,Tipper,RFID-fz470GD,2025-06-09
TRK-0340,OX-971-ES,Bulk,RFID-wd339ds,2023-11-17
TRK-0341,SE-470-ND,Tipper,RFID-sI797ag,2023-10-26
TRK-0342,,Bulk,RFID-Ux624Wz,
TRK-0343,OM-664-DW,Bulk,RFID-dK506Jm,2023-11-09
TRK-0344,BK-834-SN,Bulk,RFID-ey584GC,2023-10-29
TRK-0345,TV-175-DI,Tipper,RFID-RN849hi,2024-03-08
TRK-0346,BM-629-IW,Tipper,RFID-Yv165Jx,2024-10-02
TRK-0347,UQ-286-TD,Tipper,RFID-Gz239Gc,2025-05-29
TRK-0348,NW-951-DD,Tipper,RFID-Tv002ZE,2024-06-17
TRK-0349,EI-826-FY,Bulk,RFID-MG872iu,2025-04-10
TRK-0350,NH-180-GQ,Tipper,RFID-zN952Vt,2024-04-21
TRK-0351,OD-410-PC,Bulk,RFID-GI958FT,2024-06-24
TRK-0352,QP-694-ER,Bulk,RFID-bx947vR,2024-05-07
TRK-0353,SP-962-YB,Tipper,,2024-09-09
TRK-0354,WC-756-UG,Bulk,RFID-qP097YX,2025-02-28
TRK-0355,FO-732-QM,Tipper,RFID-Ud993LE,2023-10-17
TRK-0356,QH-409-MU,Bulk,RFID-Xy289jR,2024-10-07
TRK-0357,RH-174-RE,Bulk,RFID-Sh309mb,2024-11-28
TRK-0358,KM-448-PI,Bulk,RFID-jA756Sn,2024-09-23
TRK-0359,ST-981-IK,Bulk,RFID-EV689Ud,2024-12-31
TRK-0360,TN-208-IM,Bulk,RFID-Ju283QE,2023-10-23
TRK-0361,GG-199-BY,Tipper,RFID-lD865Iv,2025-08-04
TRK-0362,WK-986-XV,Tipper,RFID-NE854mp,2025-06-27
TRK-0363,YS-294-TM,Bulk,RFID-ot484Xs,
TRK-0364,NM-415-MC,Bulk,RFID-Ew375JY,2024-07-06
TRK-0365,,Bulk,RFID-KR441Iy,2023-10-03
TRK-0366,BM-963-RM,Bulk,RFID-sc652sT,2024-08-21
TRK-0367,NW-541-DG,Bulk,RFID-Pq157VE,2024-01-16
TRK-0368,JK-146-KO,Bulk,RFID-rJ338Sr,2024-12-07
TRK-0369,FO-175-KL,Tipper,RFID-VL219pp,2025-04-17
TRK-0370,OV-738-RD,Tipper,RFID-Oo083dg,2025-01-17
TRK-0371,ZK-913-ZO,Tipper,RFID-gR657Xi,2025-05-29
TRK-0372,JD-716-NN,Tipper,RFID-AP082EE,2025-06-07
TRK-0373,BD-441-UN,Tipper,RFID-sP345dX,2025-02-03
,,,,
TRK-0375,EZ-857-VP,Bulk,RFID-cz262YF,
TRK-0376,NN-601-SH,,RFID-at240KM,2025-06-04
TRK-0377,VJ-789-CK,Tipper,RFID-DP154IH,2024-02-09
TRK-0378,HX-993-RA,Bulk,RFID-Dr728mZ,2023-10-17
TRK-0379,MZ-901-ZP,Tipper,RFID-UD152Pq,2024-06-16
TRK-0380,FB-591-EQ,Bulk,RFID-Ys205KR,
TRK-0381,QV-251-VG,Tipper,RFID-Oz329BG,2025-05-09
TRK-0382,OS-295-AI,Tipper,RFID-Qg516li,2023-10-17
TRK-0383,DR-520-NP,Tipper,RFID-aq753yp,2023-12-13
TRK-0384,MW-844-BD,Bulk,RFID-tL745UK,2024-11-10
TRK-0385,FI-778-MJ,Tipper,RFID-Sp045dQ,2024-07-28
TRK-0386,YL-645-IJ,Bulk,RFID-kz174RG,2024-05-15
TRK-0387,US-758-UG,Bulk,RFID-xN414oo,2025-05-12
TRK-0388,MY-385-OF,Bulk,RFID-DV272Mx,2024-05-04
TRK-0389,ZH-395-SR,,RFID-WI687ZQ,2024-07-18
TRK-0390,MM-673-YU,Bulk,RFID-Yf339HC,2025-05-01
TRK-0391,HD-792-OX,Tipper,RFID-Kh851dJ,
TRK-0392,KI-891-UH,,RFID-Ij839ku,2025-03-05
TRK-0393,HS-454-YR,Tipper,RFID-Rn871TL,2025-06-08
,,,,
TRK-0395,SD-730-TG,Bulk,RFID-DK286dJ,2024-06-21
TRK-0396,BX-331-QB,Tipper,RFID-zq740aV,
TRK-0397,KS-202-RD,Tipper,RFID-cB391wS,2024-06-25
TRK-0398,ZZ-261-KY,Tipper,RFID-eE180cs,2024-11-10
TRK-0399,WM-304-TH,Bulk,RFID-XP622UP,2024-03-28
TRK-0400,HB-887-CO,Tipper,RFID-Cy656yf,2024-11-19
TRK-0401,NS-138-XE,Tipper,RFID-hl825Iz,2024-06-18
TRK-0402,WE-137-ZK,Bulk,RFID-aW823bt,2024-01-21
